,mid,uid,个人昵称,个人主页,发布时间,内容来自,展示内容,全部内容,转发数量,评论数量,点赞数量
37,5083309336171128,6563153047,考研的小曾曾,https://weibo.com/6563153047,09月27日 20:07,考研超话,考研超话♨️25柴荣《阅读7大话题词汇》总结话题词汇总#2025考研##考研英语##考研#​,,0,2,1
38,5083308767838339,5521066925,猪脚粉的狂热粉丝,https://weibo.com/5521066925,09月27日 20:05,iPhone客户端,🏁墨墨背单词打卡Day13💻累计学习单词：968个📅今日学习单词：225个🕙今日记忆次数：727次🌟今日重点单词：demonstrate[动]演示；展示；证明；示威#考研#​,,0,0,0
39,5083308627071635,6512551211,柯南也想不到,https://weibo.com/6512551211,09月27日 20:04,iPhone客户端,没事哒没事哒🙃🙃#考研##英一##完型#​,,0,1,0
40,5083308104879992,7186455208,甜莎豆包,https://weibo.com/7186455208,09月27日 20:02,墨墨背单词,💢tumble💢“疼不”：“摔倒”了疼不？#考研#​,,0,0,0
41,5083307454237068,6330109306,马理论考研学姐,https://weibo.com/6330109306,09月27日 20:00,iPhone客户端,400➕高分上岸学姐可接专业课辅导，已整理出最新最完整的历年真题，专业课背诵资料，可带背划重点。#马理论考研#马理论考研超话长春理工大学考研超话#考研##备考##25考研#​,,0,1,0
42,5083307429855543,6604886314,红颜醉惜君100,https://weibo.com/6604886314,09月27日 19:59,墨墨背单词,🏁墨墨背单词打卡Day78💻累计学习单词：7304个📅今日学习单词：50个🕙今日记忆次数：66次🌟今日重点单词：viciousadj.邪恶的；恶毒的；堕落的#考研##学习打卡#​,,0,1,0
43,5083307029305040,6325892944,擅长发作公主病,https://weibo.com/6325892944,09月27日 19:58,iPhone客户端,💢complement💢糠补了门。补充物#考研##背单词#​,,0,0,0
44,5083306926804739,7730742481,每天都开心ll-,https://weibo.com/7730742481,09月27日 19:57,墨墨背单词,🏁墨墨背单词打卡Day158💻累计学习单词：6453个📅今日学习单词：354个🕙今日记忆次数：1340次🌟今日重点单词：scatter[动]分散；（使）散开；散布#考研##返校季#​,,0,1,0
45,5083218472340485,6041271617,众合法硕教育,https://weibo.com/6041271617,09月27日 19:55,微博视频号,@民法岳业鹏：学习本来就是痛苦的，它不会像“听相声”那么欢乐，大家不要害怕困难。法硕超话#考研#考研超话#法硕##法硕技术流#众合法硕教育的微博视频​,,7,2,83
46,5083305741649192,6623289203,四維蘸酱,https://weibo.com/6623289203,09月27日 19:53,iPhone客户端,💢stagger💢死耽搁，磨磨唧唧的#学习打卡##考研#​,,0,1,0
47,5083304988774243,6975592581,消尽江南雪,https://weibo.com/6975592581,09月27日 19:50,墨墨背单词,🏁墨墨背单词打卡Day199💻累计学习单词：2400个📅今日学习单词：161个🕙今日记忆次数：357次🌟今日重点单词：undov.解开；撤销；毁掉#学习打卡##考研##英语#​,,0,1,0
48,5083303595739766,2609784071,WAN睿,https://weibo.com/2609784071,09月27日 19:44,墨墨背单词,🏁墨墨背单词打卡Day219💻累计学习单词：878个📅今日学习单词：100个🕙今日记忆次数：479次🌟今日重点单词：impair[动]损害；削弱#考研##自律#​,,0,0,0
49,5083303193350670,6329890874,胖胖的胖龙,https://weibo.com/6329890874,09月27日 19:43,墨墨背单词,💢respect💢“瑞士百科的”全书，我们要尊重作者！尊重！#学习打卡##考研##背单词##英语##返校季#​,,0,1,0
50,5083303111560349,7580146994,西津渡难,https://weibo.com/7580146994,09月27日 19:42,iPhone客户端,💢fancy💢烦死，这人太（花哨）了，穿着（昂贵的），我也（想要），但只能（想象）。#考研#​,,0,0,0
